episode,total_reward
1,0.802496271056
2,0.584713646366
3,0.642064345885
4,3.67893622942
5,-11.1018350224
6,11.3986976989
7,2.84394418819
8,15.3074424664
9,-14.1400803669
10,-14.7873608108
11,-1.65265902171
12,-12.6316440684
13,-30.5513641016
14,-5.57598843629
15,3.71030211624
16,7.63969316758
17,3.05052785347
18,5.56945699719
19,13.2170902863
20,17.6330879115
21,19.3318274777
22,11.3613687927
23,23.9292964781
24,20.4930710193
25,8.78159329392
26,1.10397710581
27,1.93025637818
28,0.0808248036679
29,2.52745364758
30,1.74571397846
31,2.54159598802
32,2.39486388947
33,4.98142310493
34,5.76816972422
35,5.18338918254
36,5.44222833084
37,5.27845936763
38,4.68317997656
39,4.36275111115
40,3.9495532027
41,3.60631080831
42,3.80000424493
43,3.97089181162
44,4.12032874839
45,4.54437894413
46,-18.7662077371
47,-17.4345218481
48,0.894771391211
49,21.0777124548
50,2.88607094018
51,-32.3172966699
52,18.6985437555
53,3.03691383923
54,-2.03016139906
55,-55.0204439186
56,9.37545100587
57,2.32932282924
58,0.120390408733
59,4.92453156523
60,8.86841641434
61,7.47994089885
62,19.2488745164
63,16.4847785566
64,4.83558603248
65,5.46248779356
66,2.2444401305
67,-7.43398317887
68,-27.0273268958
69,-2.59758923873
70,-17.1254663205
71,-30.3868041831
72,-22.4783089939
73,-19.9820985597
74,-15.0475407625
75,-22.1173421718
76,-14.5793292783
77,-29.2185071235
78,-7.97477053664
79,-7.20740688641
80,-9.29221405792
81,-17.3395381295
82,-24.6599165705
83,-5.41292753142
84,-3.83827945213
85,-2.29988732416
86,-4.46275098511
87,-5.69006222481
88,-6.52840711412
89,-4.77205132824
90,-2.27349420516
91,-3.939183351
92,-5.00633550038
93,-4.17544227017
94,-4.37052886878
95,-1.81812299912
96,-4.16785404759
97,-4.95494855972
98,-6.4594108838
99,9.73608762592
100,-6.47710985726
101,-4.55172182489
102,-2.16172871535
103,0.226341707552
104,-0.897446188802
105,15.8266573852
106,-6.38508566808
107,-3.39515414877
108,-2.45159789008
109,-5.53367523089
110,-3.03547226168
111,3.25622149415
112,38.1634958838
113,-1.81545911997
114,-0.639758784302
115,-4.92556533796
116,-0.911745331308
117,-2.52826725596
118,0.148218450576
119,24.4043783662
120,-100.394467706
121,-176.853636508
122,-5.54561685993
123,-3.72790887011
124,-5.48756292837
125,-4.2569690708
126,-7.33312171016
127,-5.68147835176
128,-3.11029621409
129,-2.91333586444
130,-3.74500416571
131,-3.56606835022
132,-1.70102028075
133,-3.48306571206
134,-5.93728598498
135,-4.15698657821
136,-2.28038218327
137,-3.23467967851
138,-2.97819128933
139,-2.34672334637
140,-6.77319110951
141,-2.5078789667
142,-2.25391145322
143,-2.14304525244
144,-3.37277963844
145,-3.02403585854
146,-3.41742173119
147,-2.47632838992
148,-4.84404452369
149,-2.45904836339
150,-5.52386316584
151,-4.82683258973
152,-3.08323602616
153,-2.27923368524
154,-1.72594291361
155,-2.83161563772
156,-4.04475430202
157,-5.67863940565
158,-3.51078106236
159,-2.70263521001
160,-3.61712966634
161,-3.87513767605
162,-5.08595960621
163,-5.10046914274
164,-6.06062567298
165,-4.10081137157
166,-4.51797786997
167,-4.22246364546
168,-1.9917168221
169,-2.20972922449
170,-2.37300262735
171,-4.59066320955
172,-3.8847918177
173,-3.07936813878
174,-4.37921672796
175,-4.29989372621
176,-3.13716349914
177,-3.82224327426
178,-5.24734231024
179,-3.3326002213
180,-3.8229854696
181,-3.52594940346
182,-2.73379092944
183,-3.2566575689
184,-6.07415847467
185,-2.92575629403
186,-4.66652693539
187,-1.46732174981
188,-6.49120060113
189,-1.88496381699
190,-4.10010776452
191,-3.72490368097
192,-1.7659149992
193,-2.39996502217
194,-3.52260502046
195,-3.1161376198
196,-2.09833442639
197,-171.489883524
198,-171.866192543
199,-171.747343182
200,-171.478524232
201,-171.668433545
202,-171.490207924
203,-171.245195908
204,16.6472446681
205,17.2154455079
206,19.3816752619
207,13.4907588495
208,15.5492914004
209,16.6237501933
210,16.4894605984
211,19.2361126191
212,14.4578888595
213,16.9726551968
214,15.9380149997
215,17.0654613607
216,18.3338534004
217,17.241667279
218,16.6880190938
219,14.5575382064
220,17.4895785442
221,13.6965018913
222,16.1562794507
223,17.278775068
224,-18.1160594312
225,20.8477322609
226,-23.1914496192
227,31.4374653932
228,18.8438616791
229,17.8021406973
230,18.32771963
231,18.3281750944
232,17.3668215661
233,6.01247258866
234,-73.0801323228
235,20.7245365527
236,20.2424466783
237,2.02871315875
238,-112.891145912
239,20.5835397013
240,19.8327686761
241,-82.1967209193
242,18.1367934818
243,20.3841604181
244,20.0822729992
245,20.5203508506
246,23.3718589387
247,-108.36750443
248,-147.354217399
249,-122.283942571
250,-157.835306484
251,-155.432892105
252,-153.973932301
253,-156.387355825
254,-30.1849061327
255,-25.7941091155
256,-26.3470661833
257,-50.1327021
258,-137.1994818
259,-153.415048218
260,-126.546716868
261,-97.3386270084
262,3.66483175365
263,-6.76441422663
264,2.08299426218
265,4.25673552402
266,-2.63018711412
267,-17.1544492242
268,3.91028750142
269,4.82630948607
270,13.7153462147
271,13.8235361851
272,12.7944114804
273,13.1950532951
274,13.7117459406
275,12.6972228978
276,13.4660643067
277,13.7213136613
278,13.83481641
279,13.5518084421
280,12.9430748472
281,13.2383100224
282,13.340367188
283,12.7231424647
284,13.0183135988
285,13.4881530469
286,13.2826445925
287,13.0279248783
288,12.7796068258
289,13.3541780553
290,13.2311259486
291,12.8499113286
292,13.2044569991
293,12.7129216036
294,13.5150005729
295,13.7009154442
296,13.5206408788
297,13.2435024576
298,13.1001042546
299,23.9570103525
300,13.0849038632
301,9.71583510211
302,22.6696960893
303,17.3807035057
304,19.8600203427
305,18.7477457013
306,20.7772393444
307,23.8053040403
308,23.8056386009
309,23.8056335341
310,23.8056569681
311,23.8056483821
312,23.805649519
313,23.8056479169
314,23.8056289073
315,23.8056316463
316,23.8056073229
317,23.8056170068
318,23.8056480564
319,23.805655103
320,23.8056399077
321,23.8056641464
322,23.8056115128
323,23.8056393733
324,23.8056345967
325,23.8056722096
326,23.8056328163
327,23.8056585483
328,23.8055629125
329,23.805619587
330,23.805651183
331,23.8056541502
332,23.8056228435
333,23.8056144779
334,23.8056265202
335,23.8056454667
336,23.8056301961
337,23.8056602734
338,23.8056073526
339,23.8056433271
340,23.8056329861
341,23.8056507784
342,23.805652846
343,23.8056448269
344,23.8056493057
345,23.8056467584
346,23.8056465419
347,23.8056434377
348,23.8056529136
349,23.8056462623
350,23.8056495813
351,23.8056458717
352,23.805645869
353,23.8056512227
354,23.805635382
355,23.8056422274
356,23.8056414463
357,23.8056478465
358,23.8056351729
359,23.8056198859
360,23.8056548358
361,23.8056495673
362,23.8056419964
363,23.8056517237
364,23.8056529945
365,23.8056295386
366,23.8056355116
367,23.8056459123
368,23.8056712606
369,23.8056465008
370,23.8056536287
371,23.8056277252
372,23.8056428249
373,23.8056416684
374,23.8056454807
375,23.8056510555
376,23.8056409452
377,23.8056382198
378,23.8056576386
379,23.8056450643
380,23.8056478533
381,23.8056376911
382,23.8056253279
383,23.8056389635
384,23.8056300813
385,23.8056465074
386,23.8056327126
387,23.8056391964
388,23.8056418954
389,23.8056447281
390,23.8056428154
391,23.8056413723
392,23.8056496416
393,23.8056541099
394,23.8056341917
395,23.8056534523
396,23.8056201237
397,23.8056774919
398,23.8056503462
399,23.805642848
400,23.8056532848
401,23.8056466648
402,23.8056476457
403,23.8056413028
404,23.8056486323
405,23.8056426466
406,23.8056365672
407,23.8056512035
408,23.8056475725
409,23.805623213
410,23.8056604141
411,23.8056433833
412,23.8056307437
413,23.8055831463
414,23.8056406782
415,23.8056434799
416,23.8056461359
417,23.8056557638
418,23.8056330683
419,23.805618337
420,23.8056347364
421,23.8056451591
422,23.805641831
423,23.8056233439
424,23.805642376
425,23.8056519454
426,23.8056573127
427,23.8056313041
428,23.8056377934
429,23.8056392359
430,23.8056414925
431,23.8056340356
432,23.8056214678
433,23.8056414469
434,23.805579165
435,23.8056255686
436,23.8056466438
437,23.8056613451
438,23.8056233664
439,23.8056453946
440,23.8056434705
441,23.8055785889
442,23.8056452854
443,23.8056491633
444,23.8056217043
445,23.8056467668
446,23.8056569203
447,23.805649698
448,23.8056429574
449,23.805649278
450,23.8056446344
451,23.8056424362
452,23.80563181
453,23.8056476249
454,23.8056462835
455,23.8056527208
456,23.8056376617
457,23.8056493677
458,23.8056305292
459,23.805632729
460,23.8056356886
461,23.8056435124
462,23.8056405761
463,23.8056391767
464,23.8056317642
465,23.8056347246
466,23.8056478616
467,23.8056491325
468,23.8056178159
469,23.805645165
470,23.8056375719
471,23.8056490761
472,23.8056486206
473,23.805650573
474,23.8056375117
475,23.8056441165
476,23.8056183879
477,23.805647269
478,23.8056290149
479,23.8056287007
480,23.8056042064
481,23.8056041689
482,23.8056447563
483,23.8056491245
484,23.8056384825
485,23.8056311322
486,23.8056109619
487,23.8056373475
488,23.8056123574
489,23.8056562463
490,23.8056481938
491,23.8056192127
492,23.8056213366
493,23.805639069
494,23.8056406163
495,23.8056492266
496,23.8056414089
497,23.8056359657
498,23.8056423268
499,23.8056338578
500,23.8056372222
