time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.00333561405e-07,4.2229207432e-07,10.006361019,6.2826608176,6.28268589298,0.0,7.19498896597e-06,-2.21225687947e-06,0.212017831505,-0.0387133683403,-0.0354329354627,0.0,472.2663795507783,469.5259587859014,472.80368233897116,469.8121411128882
0.12000000000000001,1.76941131483e-05,-1.78524783131e-05,10.0210846873,6.28086677249,6.28055449936,0.0,0.000799269841248,-0.000802751459283,0.27875615105,-0.0164199657025,-0.035704383089,0.0,426.2495254908191,426.2257182066561,425.3588457808267,427.26298075545355
0.18,0.000127002413203,-0.000117394977093,10.0407097905,6.27992673172,6.27908131767,0.0,0.00302147457785,-0.00261293719367,0.375385697267,-0.0142031324842,-0.00844517877809,0.0,435.23321998021254,437.50811563674586,435.39189393848665,435.577383803522
0.23999999999999996,0.000421793805037,-0.00036650961626,10.0725928101,6.2787144193,6.2782634207,0.0,0.00688892095957,-0.00582269149117,0.687245947378,-0.0362635119328,-0.0268167592281,0.0,500.93588935971263,499.59849290694217,500.1703522458599,498.5614070803551
0.3,0.00093337282502,-0.000807469023878,10.1149745383,6.27611538771,6.27644034342,0.0,0.0103218420407,-0.00909170381855,0.725452541983,-0.0636848463628,-0.0386945563976,0.0,418.2098019363047,417.1736888551963,418.1794663244409,415.7829050099674
0.36000000000000004,0.0017052598852,-0.00151839767764,10.1621035316,6.27216611258,6.27376578495,0.0,0.0156653101201,-0.0150126613062,0.845426941135,-0.0704761705192,-0.0601817759445,0.0,443.6875550392328,441.91889320471023,445.00014006084047,444.4407158203243
0.4200000000000001,0.00285790567601,-0.00266796062744,10.2162476502,6.26787433302,6.26999178882,0.0,0.0231388778976,-0.0237482022421,0.959278181389,-0.0737233214689,-0.068978319603,0.0,442.2148438568364,441.48681505613513,442.3739651740667,442.10256468589114
0.48000000000000015,0.00452390683844,-0.00441468722604,10.2760938847,6.26337306866,6.26651245091,0.0,0.0327627719354,-0.0349142122942,1.03551690367,-0.0777501485793,-0.0420576132321,0.0,428.6663515720133,430.94491111699074,430.95168539410275,430.60659711682007
0.5400000000000001,0.00682304971877,-0.00691180973919,10.3400163424,6.25859071764,6.2640868093,0.0,0.0441118114228,-0.0487753021734,1.09516170305,-0.0839332815235,-0.0373522126352,0.0,424.8647879439823,425.2670438189942,425.3670824452062,424.83187241232724
0.6000000000000002,0.00995059702496,-0.0104673539334,10.4127016072,6.25321488048,6.26188319691,0.0,0.0604051943037,-0.0703652506364,1.32741693762,-0.10440955929,-0.0355049156722,0.0,478.5641596972219,478.7042171765012,478.8538058803332,477.2874843075185
